Accession,Sample1,Sample2,Sample3,Sample4
NP_001032671.2,5.561799326,1.006175771,5.750390564,3.9995
NP_001098057.1,2.781941947,1.028853238,0.738004721,4.0065
NP_000190.1,3.273908324,1.033041035,3.924964069,4.0135
NP_001093328.1,0,1.078321915,0.929596865,4.0205
NP_001034786.1,0.090142669,1.10243437,1.094323945,4.0275
NP_001014446.1,4.010148764,1.139647936,3.791697538,4.0345
NP_001107594.1,3.218484286,1.226469974,0.738004721,4.0415
NP_001091991.1,4.363161163,1.253640175,1.463699203,4.0485
NP_001093250.1,-0.161082436,1.283826895,1.164922072,4.0555
NP_001034761.1,0.480262536,1.308220871,0,4.0625
NP_001004304.1,0,1.333907514,0,4.0695
NP_001074002.1,2.755186493,1.379021516,1.156546461,4.0765
NP_000474.2,2.405468028,1.39700435,3.703749839,4.0835
NP_001027459.1,5.710488047,1.462000915,5.50992657,4.0905
NP_001078841.1,1.978913713,1.468321754,1.591914958,4.0975
NP_001020241.1,6.914629229,1.533280072,6.789757128,4.1045
NP_001004127.2,2.460013852,1.57556827,2.678803482,4.1115
NP_000192.2,4.438507042,1.602588484,4.280444724,4.1185
NP_001009894.2,2.551369801,1.686067811,2.760333368,4.1255
NP_001078926.1,4.473334059,1.726709795,2.073342936,4.1325
NP_000551.1,3.707136215,1.748520629,3.776100684,4.1395
NP_001091977.1,2.786014483,1.753605022,1.780867046,4.1465
NP_001003891.1,1.902195397,1.773765281,2.033898441,4.1535
NP_000509.1,0,1.812041849,0,4.1605
NP_001001683.1,2.619136357,1.937978838,1.952978446,4.1675
NP_000278.3,2.983354145,1.942438486,2.059893649,4.1745
NP_001093634.1,4.188030489,1.962338044,2.032732732,4.1815
NP_000413.1,2.246092946,2.009856248,0,4.1885
NP_000135.2,1.776835056,2.039300026,1.007426229,4.1955
NP_001025035.1,0,2.101977518,0,4.2025
NP_001070818.1,-0.241700895,2.122224736,1.90480768,4.2095
NP_001018114.1,3.54657679,2.139647936,2.007426229,4.2165
NP_001035110.1,3.413387692,2.174341127,2.153393028,4.2235
NP_000037.2,9.5,2.17907283,4.285961729,4.2305
NP_001018146.1,9.490135033,2.213170373,9.372128348,4.2375
NP_001073594.1,4.521759523,2.226469973,2.266683054,4.2445
NP_001092741.1,1.309709046,2.236491893,2.037301841,4.2515
NP_000245.2,3.325883715,2.250946065,3.110519723,4.2585
NP_001034779.1,1.113017135,2.257224512,2.135392195,4.2655
NP_000160.1,2.924534347,2.264366581,0.159429323,4.2725
NP_001092046.1,1.093432738,2.270587019,2.355347116,4.2795
NP_001074260.1,1.917126397,2.287337104,2.739407439,4.2865
NP_001001973.1,1.179541754,2.294332003,1.381821745,4.2935
NP_000273.2,4.936949648,2.298686654,4.87824757,4.3005
NP_001035887.1,5.254567491,2.305626872,2.496422389,4.3075
NP_000352.1,3.286899163,2.309947615,2.980459182,4.3145
NP_000994.1,4.11948663,2.333058621,2.537940946,4.3215
NP_001070913.1,-0.534897271,2.363308431,2.165965613,4.3285
NP_001032584.1,7.081780991,2.368098292,7.439890801,4.3355
NP_001025178.1,6.428935007,2.389698621,6.107407111,4.3425
NP_001012997.1,2.326582864,2.431952625,2.110519723,4.3495
NP_000095.2,3.201051982,2.460569478,3.229818651,4.3565
NP_001026854.1,6.700611368,2.474689608,6.766266323,4.3635
NP_001073965.2,0,2.478337835,2.643772159,4.3705
NP_001010883.2,0.71196039,2.504963598,0.05989365,4.3775
NP_001077430.1,1.510112464,2.51472934,2.431084838,4.3845
NP_001003701.1,4.725806961,2.538490166,4.200905959,4.3915
NP_001034702.1,2.719432745,2.550225421,3.329354324,4.3985
NP_001099040.1,0,2.565484489,2.476373033,4.4055
NP_000138.2,2.205619886,2.608914562,1.896394917,4.4125
NP_001014832.1,3.392838966,2.619600787,2.881895347,4.4195
NP_001091742.1,3.436241452,2.643563082,3.011990753,4.4265
NP_001061.2,4.06312901,2.650394037,2.480573021,4.4335
NP_001002926.1,2.687132253,2.652437033,2.661929663,4.4405
NP_001002261.1,1.619136357,2.741500202,2.64485615,4.4475
NP_000517.2,4.01145378,2.749157159,2.296932847,4.4545
NP_001076.2,2.612271816,2.802260828,2.823815558,4.4615
NP_001093108.1,2.00535358,2.816907604,2.826457857,4.4685
NP_000388.2,1.699059902,2.842187013,0,4.4755
NP_001014431.1,5.109974543,2.936339875,5.269347015,4.4825
NP_000024.2,6.2,2.990067349,6.9,4.4895
NP_001022.1,5.943345393,3.042424851,6.172891583,4.4965
NP_000145.1,4.921760822,3.048120702,5.226953317,4.5035
NP_001036068.1,3.394840393,3.050188342,3.144950019,4.5105
NP_001071131.1,1.00535358,3.072738919,2.964801099,4.5175
NP_000057.2,12.8,3.120749839,3.195053233,4.5245
NP_001070993.1,3.434945229,3.129576689,3.070559422,4.5315
NP_001093326.2,5.084573605,3.149482943,3.780526426,4.5385
NP_000013.2,15.99021263,3.166261443,10.1,4.5455
NP_000044.2,10.6,3.214535425,3.307821163,4.5525
NP_000775.1,4.772736488,3.236037858,4.027325787,4.5595
NP_001098016.1,4.354960127,3.238306604,3.191299379,4.5665
NP_001093859.1,2.165542447,3.289089011,3.335542851,4.5735
NP_001111.3,4.682224195,3.309516123,3.134859344,4.5805
NP_001070867.1,1.204098858,3.311672296,3.267655548,4.5875
NP_001009931.1,-0.718860106,3.339835827,0,4.5945
NP_000748.3,1.154559397,3.339835827,0,4.6015
NP_001034229.1,4.273908324,3.341525165,4.699621953,4.6085
NP_000285.1,2.078567976,3.366215835,3.046954594,4.6155
NP_001003793.1,3.894671547,3.367460074,3.653418164,4.6225
NP_001008391.1,5.187838117,3.376963757,5.321317005,4.6295
NP_000777.1,1.955600545,3.390082983,0,4.6365
NP_000114.2,2.899378549,3.474108746,1.867248571,4.6435
NP_001035926.1,2.133937787,3.483319918,3.458598331,4.6505
NP_001006666.1,5.239982569,3.492092447,5.476540402,4.6575
NP_001003801.1,1.522369929,3.524429421,0.05989365,4.6645
NP_000066.1,13.9,3.539594409,3.318627918,4.6715
NP_000391.1,4.837446678,3.55314438,4.578968214,4.6785
NP_001002762.2,3.623125641,3.575568269,4.00742623,4.6855
NP_001011713.2,2.825130613,3.578262206,1.678803482,4.6925
NP_001092872.1,3.868504884,3.579152607,3.488936495,4.6995
NP_001002032.1,2.104889254,3.581298943,0,4.7065
NP_001002836.2,0,3.585582058,0,4.7135
NP_001020424.1,5.684271249,3.604670282,5.321317005,4.7205
NP_001073888.2,1.892784437,3.613815739,3.540539945,4.7275
NP_001026788.1,2.327980148,3.622264342,2.881895347,4.7345
NP_000104.1,1.648510959,3.639105554,1.678803482,4.7415
NP_001024.1,6.63939548,3.64863287,6.78586846,4.7485
NP_001008708.1,4.108958919,3.662270931,3.703749839,4.7555
NP_001036053.1,3.560908315,3.676060637,3.424995673,4.7625
NP_001020276.1,5.544024011,3.684757424,5.519325268,4.7695
NP_001073954.3,0.240168113,3.723150379,3.630603643,4.7765
NP_001092281.1,3.296922891,3.741500202,3.675993873,4.7835
NP_001025162.1,0.819181347,3.802836588,0.252538727,4.7905
NP_001093139.1,4.343607037,3.803487089,3.874168013,4.7975
NP_001074930.1,0.043276063,3.8044061,3.582176194,4.8045
NP_000012.1,12.18311098,3.806548187,10.9,4.8115
NP_001035111.1,4.365884514,3.80777081,3.543353391,4.8185
NP_000700.1,3.150616528,3.851405543,3.50992657,4.8255
NP_001029097.1,5.05175754,3.865522384,4.97021515,4.8325
NP_001107228.1,4.940151065,3.866151123,3.693106166,4.8395
NP_000146.2,0.807208705,3.870253021,0,4.8465
NP_001012750.1,2.948350806,3.878630618,1.678803482,4.8535
NP_001036100.1,4.651862169,3.879875884,3.891936199,4.8605
NP_000090.1,6.446064088,3.885097789,4.560877758,4.8675
NP_000518.1,3.883311685,3.913769143,3.64485615,4.8745
NP_001030312.2,4.710889744,3.914464102,3.946025685,4.8815
NP_001099009.1,2.306877455,3.927331593,4.186422369,4.8885
NP_000497.1,3.910146727,3.931263411,3.583455605,4.8955
NP_000311.2,5.749462537,4.75550706,5.530988186,4.9025
NP_000365.3,4.35187268,4.766080926,3.980459182,4.9095
NP_000415.2,3.350154572,4.770320225,2.381821744,4.9165
NP_001012680.1,7.571859176,4.794727155,7.648608285,4.9235
NP_001002010.2,4.537848661,4.803171981,4.87092423,4.9305
NP_001035167.2,3.671257247,4.805477541,3.579437518,4.9375
NP_001011668.1,0.240168113,4.80777081,0,4.9445
NP_000199.2,4.313240737,4.81234644,4.605685553,4.9515
NP_001009923.1,2.121099481,4.825081535,2.033898441,4.9585
NP_000121.2,3.429748663,4.839051205,3.329354324,4.9655
NP_001026895.2,1.532101467,4.839499595,0.252538727,4.9725
NP_001070675.1,5.829329883,4.857469471,4.25765627,4.9795
NP_001026893.1,2.928224106,4.872591737,3.791697538,4.9865
NP_001062.1,5.049218328,4.902368886,3.868089458,4.9935
NP_000159.3,3.20865714,4.905432629,3.695482224,5.0005
NP_001076047.1,2.425186263,4.922824929,4.277344604,5.0075
NP_001035889.1,4.62880555,4.943829304,4.064696502,5.0145
NP_001020366.1,6.654857698,4.956975626,6.285961729,5.0215
NP_001099043.1,2.701218009,4.967270339,3.556145452,5.0285
NP_001078868.1,2.708746066,4.969866713,4.058528733,5.0355
NP_001026859.1,6.448738679,4.970139743,6.340001569,5.0425
NP_001029196.1,4.621702163,4.980455981,5.004082786,5.0495
NP_000578.2,3.452987207,5.005155735,3.263765983,5.0565
NP_001003800.1,5.046250256,5.02465325,4.01408996,5.0635
NP_000377.1,4.867784557,5.047862039,4.724213942,5.0705
NP_000177.2,2.608827258,5.061507691,2.59238873,5.0775
NP_000396.2,5.385979731,5.083883388,5.116724872,5.0845
NP_001070736.1,3.997033264,5.095192788,4.278792366,5.0915
NP_001026897.1,4.908279765,5.123452666,4.752384614,5.0985
NP_000337.1,4.720231064,5.133126217,4.27490654,5.1055
NP_001001433.1,4.192639742,5.175643893,4.21254066,5.1125
NP_001003810.1,5.555550663,5.198966509,4.795570547,5.1195
NP_000381.1,4.176442515,5.217454735,4.110519723,5.1265
NP_000055.2,11.7,5.245768252,3.63624302,5.1335
NP_000150.1,3.37470007,5.263030134,4.091742515,5.1405
NP_001005741.1,4.59351464,5.78681491,4.269347015,5.1475
NP_001106878.1,4.13153929,5.794572997,4.316403112,5.1545
NP_001005339.1,3.96775247,5.802165567,2.402285847,5.1615
NP_001104026.1,3.488408066,5.826665547,4.43779657,5.1685
NP_000535.3,5.072953965,5.840246602,5.407356837,5.1755
NP_001091896.1,5.769783433,5.851998269,4.523746587,5.1825
NP_001020769.1,3.759335152,5.862258198,3.547159477,5.1895
NP_000101.2,5.641223189,5.871851585,5.119817467,5.1965
NP_000992.1,5.228057861,5.877755123,5.294197879,5.2035
NP_001027582.1,4.299061802,5.87973056,4.551746745,5.2105
NP_001034271.1,4.341533206,5.888279675,4.079087215,5.2175
NP_000584.2,4.838427436,5.888785237,4.833739309,4.39
NP_001003699.1,4.966182983,5.913144054,4.791697538,3.5625
NP_001009566.1,1.109771475,5.954700896,0,2.735
NP_000253.1,3.789568546,5.994704623,3.461992094,1.9075
NP_000358.1,4.16710465,5.995375457,3.807127579,2.7825
NP_000990.1,5.591189119,6.010188199,5.946025685,3.6575
NP_001012.1,7.215137347,6.010902227,7.230534096,4.5325
NP_001098101.1,3.325184226,6.035652249,4.776945055,5.4075
NP_001005743.1,4.74450078,6.038909633,4.678803482,6.2825
NP_000181.2,5.004916863,6.046244341,4.867248572,7.1575
NP_001073886.1,2.758299105,6.089297829,4.57178082,8.0325
NP_000475.1,4.950620265,6.100939091,5.244060573,8.9075
NP_001035998.1,4.162412955,6.104985226,4.802836588,9.7825
NP_000284.1,2.440769079,6.113538044,3.059893649,10.6575
NP_001010867.1,0.222246204,6.12120471,0,11.5325
NP_001095871.1,4.607964832,6.124160778,4.945180506,12.4075
NP_001032242.1,6.369535941,6.15739933,6.452211072,13.2825
NP_000299.2,4.422572684,6.160650392,4.732318991,12.1065
NP_000294.1,4.897262298,6.193219985,4.486158404,10.9305
NP_001091104.1,3.268096856,6.202617517,4.759767866,9.7545
NP_001002814.2,4.723154459,6.247233431,4.302387276,8.5785
NP_000261.2,6.535809516,6.249709582,6.104287769,7.4025
NP_001095124.1,4.146662853,6.263030134,4.714839052,6.2265
NP_001018118.1,5.719565829,6.290948083,5.940789036,5.0505
NP_001028733.1,1.197998658,6.307356723,1.296932847,3.8745
NP_001008895.1,4.907812646,6.310971893,5.258163277,2.6985
NP_000378.1,4.626536269,6.341472403,4.432447817,1.5225
NP_001001563.1,6.032067914,6.39405665,6.050200253,0.3465
NP_001002755.1,4.994835708,6.413511511,5.27767829,-0.8295
NP_001108072.1,3.644030536,6.425408239,5.344211878,-2.0055
NP_000089.1,4.560877758,6.446117018,6.096459779,-3.1815
NP_001011553.2,1.444638626,6.448421526,0,-4.3575
NP_001095838.1,4.905474783,6.453265675,5.113111785,6.354
NP_001029345.2,3.409433294,6.456414326,3.760333368,6.3894
NP_001020.2,5.341014282,6.460423725,5.876420217,6.4248
NP_000779.1,5.024439421,6.467403348,4.903590419,6.4602
NP_001091.1,7.051334648,6.469625853,6.066094598,6.4956
NP_001018121.1,4.881885392,6.486377287,4.514633572,6.531
NP_001001790.1,5.198953516,6.520846124,5.498091434,6.5664
NP_001027455.1,2.075243792,6.552110217,1.980459182,6.6018
NP_001041675.1,4.069407976,6.596057645,5.205578555,6.6372
NP_001017962.1,2.558529592,6.597958167,2.924964069,6.6726
NP_001104792.1,5.200479976,6.59972385,5.223732245,6.708
NP_001096654.1,3.768626243,6.619267497,5.286489324,6.7434
NP_001093115.1,5.934085224,6.624696172,5.365488927,6.7788
NP_001017928.1,5.432836382,6.651941859,5.334687769,6.8142
NP_001107563.1,6.021851627,6.66151035,5.341212511,6.8496
NP_001035521.1,3.376726802,6.678418302,5.491644217,6.885
NP_000272.1,5.221682541,6.686857088,4.997372565,6.9204
NP_000705.2,4.774787228,6.689119317,4.87824757,6.9558
NP_000147.1,5.195895743,6.705876292,4.412410064,6.9912
NP_000704.1,5.432024465,7.207749656,4.618860941,7.0266
NP_000508.1,4.004043032,7.257168575,3.939039254,7.062
NP_001017963.2,10.42629764,7.281518671,10.44737252,7.0974
NP_001026871.1,3.581556522,7.284809121,3.752384614,7.1328
NP_000572.2,6.561131119,7.329179192,6.90089631,7.1682
NP_000256.4,5.539658818,7.362419724,5.621045189,7.2036
NP_001019636.1,6.096920236,7.381384317,5.498091434,7.239
NP_001070984.1,5.191296897,7.4043221,5.57659554,7.2744
NP_001025459.1,4.462878553,7.417421257,5.07271769,7.3098
NP_001034937.1,5.499456101,7.426357092,5.641616995,7.3452
NP_001015.1,7.070556162,7.44265334,7.107407111,7.3806
NP_000519.2,6.051863244,7.454361921,6.127520075,7.416
NP_001078880.1,4.348090137,7.817856034,5.611197456,7.4514
NP_000111.1,4.136332301,7.84243521,4.556319476,7.4868
NP_001013455.1,5.953452079,7.85746947,5.744391824,7.5222
NP_000923.1,6.503635361,7.903673789,6.093316651,7.5576
NP_001029027.1,0.766566721,7.93549917,1.422463729,7.593
NP_001026882.2,3.035599867,7.943672904,3.098028778,7.6284
NP_000966.2,5.77247994,7.964295077,4.63624302,7.6638
NP_000008.1,4.568907672,8.005467313,12.5,7.6992
NP_001032238.1,5.964274879,8.015389852,5.678803482,7.7346
NP_001017915.1,7.568057995,8.032191372,7.755867584,7.77
NP_000201.2,5.118477682,8.039771609,4.618860941,7.8054
NP_001032248.1,6.69059872,8.068457756,6.639478973,11.2365
NP_001035830.1,5.664360327,8.097115975,5.773440357,11.1365
NP_001034230.1,2.794125228,8.09738158,2.318627918,11.0365
NP_000792.1,6.743323123,8.193263243,5.594613395,10.9365
NP_000091.1,5.809044782,8.193526341,6.446064088,10.8365
NP_001013764.1,0,8.208516459,0,10.7365
NP_001026855.2,1.201051982,8.242791047,0,10.6365
NP_000246.2,4.777602243,8.245796442,4.744391824,10.5365
NP_001002251.2,4.881885392,8.258929544,4.01408996,10.4365
NP_000552.2,6.438992063,8.275787122,6.563151509,10.3365
NP_001028740.1,2.225248693,8.281876138,2.361063184,10.2365
NP_001034558.2,4.539658818,8.320197975,4.921423711,10.1365
NP_001037.1,5.285641286,8.334835421,6.01561325,10.0365
NP_000149.3,5.73426234,8.387491662,5.442363286,9.9365
NP_001104262.1,5.659928932,8.39479414,6.015902657,9.8365
NP_001019554.1,2.519926753,8.395213578,0,9.7365
NP_000301.1,7.386273171,8.400781804,7.3714798,9.6365
NP_001035526.1,5.276805303,8.425196656,6.129653703,9.5365
NP_000782.1,6.243688917,8.468877348,6.211091443,9.4365
NP_001070707.1,5.150024167,8.479525036,6.070698725,9.3365
NP_000999.1,6.014819617,8.480339922,6.236957186,9.2365
NP_000995.1,7.105042073,8.4978324,6.077497468,9.1365
NP_000185.1,7.310857794,8.510171613,7.200905958,9.0365
NP_001020114.1,5.413716736,8.530979627,5.296932847,8.9365
NP_001017992.1,0.90031811,8.572301013,2.135181777,8.8365
NP_001020127.1,2.918054474,8.636438485,2.881895347,8.7365
NP_001001975.1,5.790582387,8.694354422,5.110519722,8.564
NP_001027454.1,7.094869788,8.706941525,6.890974641,8.3915
NP_001009999.1,6.493787046,8.775553074,6.381821744,8.219
NP_000019.2,4,8.806357058,8.5,8.0465
NP_000972.1,6.679969076,8.81745777,6.547159476,7.874
NP_000382.3,5.360603343,8.826618429,5.627578159,7.7015
NP_000172.2,5.663668818,8.892877378,6.172891583,7.529
NP_000662.3,7.651373935,8.902672873,7.607889824,7.3565
NP_000088.3,15,8.912428947,6.141281976,7.184
NP_000681.2,6.853483902,8.934686239,7.008260881,7.0115
NP_001070667.1,6.543197144,8.94695375,6.276378622,7.1235
NP_001005751.1,5.667123053,9.061403585,5.625403788,7.2355
NP_001035957.1,4.573921643,9.064123885,6.347549986,7.3475
NP_001073271.1,6.731625354,9.132650909,6.478317047,7.4595
NP_000476.1,5.856452224,9.246353093,5.618860941,7.5715
NP_001018080.1,6.33598837,9.454947301,6.074312709,7.6835
NP_001028886.1,3.824140771,9.547380601,3.687166955,7.7955
NP_001008389.1,5.533767484,9.96208498,5.805207825,7.9075
NP_000480.3,6.338503515,10.40341889,6.433690984,8.0195
NP_000507.1,5.952659731,10.44563242,5.899997154,8.1315
NP_000108.1,5.931330017,11.07062778,5.481357418,8.2435
NP_000312.2,5.711826603,11.31404037,5.642707684,8.3555
NP_001019845.1,1.628238564,12.1520827,1.776100684,8.4675
NP_001001520.1,6.722424165,12.7,6.681945469,8.5795
NP_000364.1,6.842893704,12.1520827,7.019895581,8.6915
NP_001005362.1,7.014873841,11.6041654,6.833739309,8.8035
NP_001012768.1,5.132339232,11.0562481,5.266559198,8.9155
NP_000182.2,5.222621858,10.5083308,5.329354324,9.0275
NP_001028693.1,5.195513066,9.9604135,5.461992093,9.1395
NP_000981.1,7.425798136,9.4124962,7.539673913,9.2515
NP_001013725.2,4.405798884,8.8645789,4.402285847,9.3635
NP_001034764.1,6.657152382,8.3166616,6.594533192,9.4755
NP_001015877.1,5.404971603,7.7687443,5.218323012,9.5875
NP_001070865.1,6.709081226,7.220827,6.883991367,9.6995
NP_000098.1,6.120797209,6.6729097,6.107407111,9.8115
NP_001020419.1,7.219472739,6.1249924,6.825238954,9.9235
NP_001036144.1,6.440688353,5.5770751,6.641382544,10.0355
NP_000250.3,5.923725953,5.0291578,5.916096831,10.1475
NP_001023.1,-0.695959704,4.4812405,0,10.2595
NP_001001998.1,7.137279034,3.9333232,7.293513327,10.3715
NP_001009552.1,7.26006767,3.3854059,7.243351807,10.4835
NP_001075.1,6.130638825,2.8374886,6.756221139,10.5955
NP_001034891.1,6.436565325,2.2895713,6.933700063,10.7075
NP_001101.1,6.774146685,1.741654,6.750493397,10.8195
NP_001073027.1,7.173288021,1.1937367,6.806981605,10.9315
NP_001094096.1,6.978413308,0.6458194,6.841802766,11.0435
NP_001041659.1,6.394507014,0.0979021,6.786051557,11.1555
NP_001019978.1,0.959211798,-0.4500152,2.500466241,11.2675
NP_001018494.1,5.698789911,-0.9979325,5.560877757,11.3795
NP_001020262.1,7.353031246,-1.5458498,7.190648053,11.4915
NP_001078927.1,6.273364493,-2.0937671,6.837429287,11.6035
NP_001092879.1,6.588859843,-2.6416844,7.087008363,11.7155
NP_001007.2,7.789917134,-3.1896017,7.512870246,11.8275
NP_001026794.1,5.120494873,-3.737519,5.056669748,11.9395
NP_000512.1,6.499456101,5.23654,6.762313731,12.0515
NP_000974.1,7.26941557,4.9687,7.45649843,12.1635
NP_000275.1,7.332294444,5.23654,7.221205521,12.2755
NP_000427.1,7.341187277,5.50438,7.442980746,12.3875
NP_001018119.1,5.56683802,5.77222,5.215434733,12.4995
NP_000993.1,7.330117118,6.04006,7.02320262,12.6115
NP_000628.2,7.21937863,6.3079,7.038808355,12.7235
NP_001035930.1,7.247385767,6.57574,7.527709618,12.8355
NP_001013685.1,4.341533206,6.84358,4.235532302,12.9475
NP_000932.3,6.573700805,7.11142,6.345295868,13.0595
NP_000276.2,6.126629944,7.37926,6.180316689,13.1715
NP_001074419.1,6.85590748,7.6471,7.234590419,13.2835
NP_000840.2,6.634533765,7.91494,6.542557574,13.3955
NP_000225.1,6.922049979,8.18278,6.689250269,13.5075
NP_001021.1,7.1829722,8.45062,7.474125848,13.6195
NP_000929.1,6.701352784,8.71846,7.071120904,13.7315
NP_001029366.1,5.884973912,8.9863,5.999053048,13.8435
NP_000989.1,7.920979806,9.25414,7.777570072,13.9555
NP_001034180.1,7.402569802,9.52198,6.687166954,14.0675
NP_000414.2,7.204431719,9.78982,6.723197601,14.1795
NP_001019.1,7.738438682,10.05766,7.268650565,14.2915
NP_001004019.1,6.247016508,10.3255,6.101161668,14.4035
NP_001032726.1,7.040349002,10.59334,6.69651827,14.5155
NP_001073884.1,7.030888672,10.86118,7.484525577,14.6275
NP_000988.1,5.441091938,11.12902,4.994005714,14.7395
NP_001092006.1,7.040775126,11.39686,7.388777101,14.8515
NP_000117.1,8.053553448,11.6647,7.651816652,14.9635
NP_001002857.1,8.046303311,11.93254,7.816211687,15.0755
NP_000985.1,7.300219056,12.20038,7.113625633,
NP_000970.1,7.362010705,12.46822,7.777570072,
NP_000916.2,7.308161208,12.73606,7.172891583,
NP_001003.1,8.14671234,13.0039,7.75188636,
NP_000886.1,7.553536402,13.27174,7.41870181,
NP_000928.1,6.841121088,13.53958,6.880072612,
NP_001093.1,8.10425233,13.80742,7.729515538,
NP_001030168.1,6.391503137,14.07526,6.483759908,
NP_000969.1,7.971948062,2.3636,8.059491056,
NP_001087240.1,7.0497477,2.69875,7.551361711,
NP_001091678.1,7.355688145,3.0339,7.671867562,
NP_000971.1,8.019421347,3.36905,7.76132389,
NP_000242.1,7.040029326,3.7042,7.029794042,
NP_001029288.1,0.720497072,4.03935,0.252538727,
NP_001010.2,7.051704686,4.3745,7.034717921,
NP_000973.2,7.764923431,4.70965,7.260266842,
NP_001000.2,8.143020839,5.0448,8.010761942,
NP_000967.1,8.363693472,5.37995,8.176237611,
NP_001018006.1,5.588714138,5.7151,5.97705258,
NP_000687.3,7.646272487,6.05025,7.536784477,
NP_000875.2,8.013083392,6.3854,8.01242691,
NP_001089.1,8.36088066,6.72055,7.973823401,
NP_000980.1,7.75939988,7.0557,7.834210086,
NP_000977.1,8.615815424,7.39085,8.338011187,
NP_000962.2,8.345440757,7.726,8.250776549,
NP_000908.2,7.572706618,8.06115,7.409885663,
NP_000692.2,8.824975995,8.3963,8.470193561,
NP_000445.1,8.250750896,8.73145,8.05707313,
NP_000984.1,7.583532064,9.0666,7.611739213,
NP_000405.1,8.334946337,9.40175,8.158677724,
NP_001096137.1,7.357613478,9.7369,8.396118935,
NP_000099.2,7.747701761,10.07205,7.826659163,
NP_000975.2,8.574179244,10.4072,7.98597781,
NP_001099008.1,7.415155423,10.74235,8.128817717,
