Accession,LOG2 foldchange of130N Sample,Adjusted P Value130N Sample
NP_000692.2,0.625424184,1.49328681
XP_016884687.1,0.455937731,0.701720845
NP_001002858.1,0.18575978,0.513956473
NP_001609.2,-0.273527339,0.287904115
NP_001596.2,0.565955372,0.721433113
NP_004902.1,0.3903466,0.358272714
NP_001121089.1,0.43529021,1.178516889
NP_821133.1,0.034888059,0.025172866
NP_001138880.1,-0.208439138,0.192405687
NP_006073.2,0.177530957,0.146620127
NP_001129171.1,0.014858635,0.016228446
XP_005268559.1,-0.462837053,0.249994458
NP_006576.2,0.14903191,0.479456501
NP_954654.1,-0.350923666,0.109327097
NP_001275582.1,0.737059103,0.698405812
NP_006079.1,0.14032508,0.126292914
NP_001273433.1,0.238000254,0.681437287
NP_001055.1,0.14875641,0.21792
NP_006421.2,0.088886787,0.181447315
NP_005989.3,0.29881186,0.196470474
XP_005268563.1,-0.256573064,0.053483661
XP_005271449.1,0.172323774,0.661811844
XP_016885266.1,0.567056626,1.11474376
NP_006420.1,0.173671327,0.216344694
NP_005909.2,-0.091778755,0.141081511
NP_001091.1,-0.003799196,0.000778807
XP_011529261.1,-0.305958963,0.248319086
NP_001032827.1,-0.135774165,0.377290358
NP_001072989.1,0.046986618,0.028432953
NP_005311.1,-0.873211614,0.747793201
NP_006810.1,-0.120848478,0.475493935
XP_024307077.1,-0.425172777,0.489534739
NP_005304.3,0.476309225,0.720252209
XP_011537116.1,0.075827769,0.06077615
NP_054706.1,-0.090081998,0.042135542
NP_005312.1,-0.880171048,0.85005107
NP_006816.2,0.186451187,0.422711071
NP_003741.1,0.159234312,0.124176028
NP_055205.2,0.754672181,0.836388907
NP_006422.1,-0.060177569,0.046690673
NP_001001937.1,-0.0038414,0.008139842
NP_001393.1,0.271323,0.521189137
XP_024306396.1,-0.224977235,0.23593476
NP_001307524.1,0.08305485,0.340346664
NP_005310.1,-1.101134095,0.707076825
NP_001036816.1,-0.175590028,0.123215901
XP_011535567.1,-0.110171339,0.143274009
NP_004512.1,0.172611074,0.135923668
NP_003312.3,0.267109323,0.779955686
NP_001348.2,0.361787711,0.239091354
NP_001275905.1,-0.176134799,0.121972351
NP_060090.2,0.014743996,0.010823427
NP_001060.1,0.208925537,0.040711247
NP_001121134.1,0.000231377,0.000349424
XP_005270945.1,-0.80277276,0.377967569
NP_001287750.1,-0.311856648,0.155328197
NP_006830.2,0.123856029,0.199594592
NP_001290043.1,-0.312739145,0.065918479
NP_001302466.1,0.174911162,0.379260043
NP_112533.1,-0.176520265,0.1188229
NP_036222.3,-0.108910558,0.080351824
NP_003861.1,0.213523991,0.125929523
NP_005564.1,-0.431931268,1.363028024
NP_733765.1,0.283884607,0.239892428
NP_006833.2,-0.514402245,0.37192263
NP_006182.2,-0.092925957,0.080044071
NP_001245282.1,0.019173016,0.015290123
NP_001152759.1,0.290225321,0.303499666
NP_037506.2,0.579540529,0.460057837
NP_001264153.1,0.496498679,0.898837403
NP_001070910.1,-0.369965985,0.506708111
NP_005313.1,-0.897876989,0.35971895
NP_001276032.1,-0.039306702,0.022678541
NP_001073027.1,0.002200517,0.001074057
NP_005262.1,0.696075049,1.020845709
NP_573566.2,0.376480354,1.055128088
NP_001753.1,0.173753321,0.556585523
NP_002897.1,-0.206608146,0.100640848
NP_001184222.1,0.276521492,0.221508794
NP_005057.1,-0.307554904,0.146320863
NP_001307894.1,0.242783937,0.233955398
NP_001300821.1,-0.555136077,0.251662438
NP_002559.2,-0.25939856,0.210950614
NP_110379.2,0.326445907,1.116785641
NP_001305116.1,-0.130235494,0.102646995
NP_060918.2,0.511914556,0.559480886
NP_001091974.1,0.284987263,0.330059014
NP_055644.2,-0.014663637,0.007246466
NP_006077.2,0.019124317,0.004624217
NP_004719.2,-0.422161208,0.210642607
NP_003079.1,0.049435262,0.043476993
XP_024307247.1,0.106504805,0.153133888
NP_003395.1,-0.214714754,0.632393953
NP_001099000.1,0.308600378,0.201095346
NP_001269633.1,0.172854562,0.331558495
NP_005900.2,0.76203066,3.727467408
NP_004035.2,0.335118742,0.993676792
NP_006657.1,-0.01677211,0.026422907
NP_006112.3,0.015334944,0.009550198
NP_006752.1,-0.041901882,0.034903003
NP_001677.2,-0.103200659,0.119826061
NP_001018077.1,-0.141838805,0.171537475
NP_000958.1,0.169081052,0.152934451
NP_006827.1,0.596577849,1.898855694
NP_004485.1,-0.379474976,0.479426195
NP_001181875.2,0.085549689,0.059918587
XP_006713191.1,0.515467548,1.58954565
NP_002930.2,0.416372302,1.193805137
NP_056474.2,-0.179781232,0.111880101
NP_001741.4,-0.264889413,0.19072449
NP_001245238.1,-0.296079774,0.911277212
NP_001351766.1,0.298374027,0.365810537
NP_005013.1,0.280797225,0.095643289
XP_024307259.1,0.151617515,0.050115171
XP_005257400.1,-0.133704024,0.065678784
NP_000995.1,-0.406677305,0.379598869
NP_005868.1,-0.02991075,0.022863885
NP_009123.1,-0.193829806,0.447780353
NP_056991.2,0.569477667,0.293866265
NP_006817.1,0.072113587,0.058750686
NP_001032360.1,-0.403848127,0.095840126
NP_005436.1,-0.223332263,0.278242158
XP_016868908.1,0.283911106,0.121823153
XP_011539528.1,0.260994597,0.198239952
NP_000810.1,0.471958952,0.210166035
NP_002127.1,-0.268354505,1.572604939
XP_011508517.1,-0.459580358,0.301920352
NP_005222.2,0.142170676,0.048186462
NP_000997.1,0.048210071,0.149528631
NP_001351609.1,-0.215467031,0.321969133
NP_036611.2,0.116415563,0.05849072
XP_011525954.1,-0.000708213,0.000716158
NP_001395.1,0.259739644,0.297133687
NP_001032897.1,-0.141178993,0.08094595
NP_006363.4,-0.190146146,0.601950974
NP_005554.1,-0.909803351,1.05405133
NP_004334.1,0.3250246,0.212138243
NP_001095868.1,-0.124957652,0.442757204
NP_001028886.1,-0.520336072,0.120861143
NP_001407.1,0.027507316,0.017545962
NP_003277.1,-0.238362415,0.605798011
NP_001181883.1,-0.452779333,0.466340262
NP_001307.2,-0.07269601,0.292269176
NP_002620.1,-0.170726118,0.504073854
NP_149124.3,0.258455781,0.258139972
NP_054733.2,0.358617983,0.31850163
NP_036205.1,0.179214718,0.141076279
NP_003698.1,0.052119699,0.020278618
NP_005137.1,-0.044000774,0.047232181
NP_203754.2,0.780241429,0.676910627
NP_001245366.1,0.486025887,0.504148338
NP_006436.3,0.242121441,0.387239801
NP_004896.1,0.161359779,0.077096655
NP_006297.2,-0.221902269,0.153472238
NP_064502.9,0.372596994,0.652890416
NP_004757.1,0.322897077,0.48728985
NP_001104547.1,-0.438981595,0.334255704
NP_006319.1,-0.060699434,0.052288186
NP_001035930.1,0.242495395,0.511895442
NP_055792.1,-0.272223858,0.110571719
NP_001129125.1,-0.177316012,0.059295367
NP_000173.2,0.756396821,0.377650264
NP_055227.1,-0.007748771,0.014200876
NP_002878.2,0.422529492,0.235523857
NP_000405.1,0.554723636,0.292769734
NP_001153149.1,0.001187796,0.00034089
NP_001091868.1,0.67242841,0.980667515
NP_000134.2,0.011339904,0.018345989
NP_006187.2,0.006012233,0.012437246
NP_001257411.1,-0.078926917,0.059784409
NP_066953.1,-0.203772034,0.506763505
NP_001145.1,0.291916093,0.549334415
NP_003671.1,0.219974657,0.197025065
NP_004550.2,-0.443362599,0.200038171
NP_005498.1,0.222607603,0.736649332
NP_003281.1,-0.167208647,0.099480222
NP_001257376.1,0.486668395,0.75397001
NP_001310911.1,-0.11822828,0.298188284
NP_938148.1,0.220459176,0.1148483
NP_001008938.1,0.303206191,0.245654742
NP_000959.2,-0.120820818,0.080057438
NP_004332.2,0.496608217,0.540923771
XP_005261752.1,-0.093568819,0.044313429
XP_011511565.1,-0.035852552,0.059697857
XP_006724878.1,-0.066426972,0.028686758
NP_001268425.1,0.144818315,1.171496051
NP_057417.3,-0.207403687,0.129821838
XP_006711906.1,0.047499785,0.045666041
NP_001290203.1,0.508100437,0.668574828
NP_001347.3,0.268855173,0.710979825
NP_066997.3,0.282980265,0.439601304
NP_002130.2,-0.498648196,0.590418394
NP_002794.1,0.369603557,0.338496327
NP_006383.2,0.10376283,0.16818917
NP_004506.2,0.071048177,0.014383615
NP_001349.2,0.209570635,0.093780408
XP_005269750.1,0.240309065,0.152191222
XP_005270330.1,-0.626627066,0.607553101
NP_059830.1,0.318254194,0.259285482
NP_002941.1,0.177000636,0.118295311
NP_001002800.1,-0.604963591,0.627563588
NP_004530.1,0.264145234,0.105970947
NP_116126.3,-0.199608084,0.134897294
NP_002442.2,0.436634631,0.308988686
NP_001316851.1,-0.456840357,0.881340857
NP_000684.2,0.197780261,0.17267511
NP_001099008.1,0.402552927,0.282038362
NP_002152.2,0.778750257,0.355221166
NP_001308911.1,0.171356137,0.116534369
NP_002202.2,0.080510207,0.046246173
NP_004930.1,0.330297487,0.384727787
NP_001350922.1,0.316179003,0.442594616
NP_005491.1,0.134960064,0.077987964
NP_038470.1,0.019690514,0.008205309
NP_001309294.1,0.586034932,0.434283291
NP_003925.1,0.29535173,0.280062533
NP_001269315.1,0.194714404,0.903359958
NP_000117.1,0.023523493,0.009573605
NP_001351154.1,-0.179933118,0.094862324
NP_001116849.1,0.220139558,0.379076134
XP_005252522.1,0.567299789,0.2433086
NP_066964.1,0.123620563,0.503449335
NP_001129497.1,0.316036433,0.832805998
NP_001072993.1,0.126763288,0.072167735
NP_002793.2,0.179400522,0.842168938
NP_112740.1,-0.139528729,0.091126435
NP_001003.1,-0.024640659,0.014370899
NP_001914.3,0.229985436,0.138181814
NP_001092006.1,0.330184467,0.220143539
NP_001029249.1,-0.299277673,0.327966841
NP_004175.2,0.801178873,1.178360062
NP_060802.1,0.077621522,0.070635219
NP_004628.4,0.255411676,0.114995068
NP_001184223.1,-0.164882577,0.055878654
NP_000933.1,0.320653308,0.745493651
NP_000963.1,-0.112012008,0.042449219
NP_000996.2,0.089499609,0.345386003
XP_005249419.1,0.328910737,0.548599514
NP_001340.2,0.295542239,0.336533419
NP_003749.2,-0.249738862,0.086873932
NP_000203.2,0.337366535,0.179711026
XP_005264059.1,0.138122063,0.24110058
NP_004073.2,0.260089413,0.115288676
NP_065761.1,0.407244895,0.339762114
NP_005737.1,0.527291087,0.393514327
XP_005247645.1,-0.069615363,0.029156181
XP_024303866.1,-0.012505486,0.004951797
NP_149129.2,-0.439757797,0.161115178
NP_945353.1,0.33533974,0.93927997
NP_001291217.1,0.026645104,0.021979077
NP_004085.1,0.044346187,0.099359326
NP_002296.1,-0.06783712,0.04614489
NP_006001.5,0.055126428,0.038391301
NP_003510.1,-0.393105972,0.206124118
NP_001287998.1,-0.198427576,1.00874492
NP_009176.2,0.011178474,0.010167975
NP_055414.2,0.34386008,0.230510737
XP_005249096.1,-0.299673838,0.673307813
NP_003592.3,-0.041666233,0.03107464
NP_064505.1,0.44577902,0.3920183
XP_005258516.1,0.000924076,0.000616997
NP_001308400.1,-0.301480986,0.257300482
NP_001138303.1,-0.090589495,0.065929053
NP_001122321.1,-0.113501124,0.064373146
XP_011513391.1,0.311664602,0.427926386
NP_000678.1,0.39616269,0.300467223
NP_002256.2,-0.127342714,0.061995365
NP_060117.3,0.030787855,0.009530747
NP_005906.2,-0.223913468,0.328717762
NP_863654.1,0.121497741,0.117796785
NP_005808.3,0.09163403,0.125069931
XP_005269298.1,0.199858275,0.145788449
NP_000099.2,0.256048845,0.385896191
NP_001307811.1,0.253760291,0.073493809
NP_001156008.1,0.078793566,0.023022298
NP_000962.2,-0.071128405,0.09066313
NP_055752.1,1.056123571,0.934776297
NP_001106963.1,0.031867327,0.022581094
NP_000998.1,0.058719667,0.046660528
NP_002261.3,0.01135299,0.002855653
NP_001264.2,-0.078890767,0.027437864
NP_001121689.1,-0.430840598,0.193575956
NP_001353298.1,-0.406274026,0.225681076
NP_001243415.1,0.18150628,0.082013144
NP_001188267.1,-0.699737108,0.390638173
NP_002782.1,0.108490478,0.252126206
NP_001349824.1,-0.163901545,0.235117171
NP_002854.3,0.559705865,0.407725663
NP_003746.2,-0.04470764,0.023469418
XP_011525622.1,0.061399971,0.025093568
NP_001317160.1,-0.145415035,0.044916097
NP_001026859.1,0.356728803,0.366329826
NP_036364.2,-0.062677577,0.045151092
NP_000215.1,-0.006531694,0.003914111
NP_005546.2,0.582234811,0.181317419
NP_036220.1,0.248363012,0.095415057
NP_006391.1,0.134910324,0.097812376
NP_000687.3,0.207733718,0.123429216
NP_004490.2,-0.376779565,0.313782828
NP_001274522.1,0.098622598,0.032072141
NP_055040.2,-0.074771953,0.341411573
NP_003650.1,0.367600052,0.575526368
NP_001092755.1,-0.869965375,0.438765615
NP_003747.1,-0.02844671,0.030162198
NP_003361.1,0.091516648,0.049304276
NP_476516.1,0.235720848,0.104229844
NP_057212.1,0.513976027,0.731506767
NP_060225.4,0.139899908,0.049358651
NP_005800.3,0.250905314,0.333331613
XP_024303862.1,0.256877021,0.162378341
NP_000968.2,-0.100865986,0.139751291
NP_001341087.1,1.284726999,0.791492183
NP_002558.1,0.115572894,0.110529982
NP_004784.2,0.330782663,0.13695412
XP_016867690.1,-0.452131812,0.195956544
XP_016873006.1,0.278280034,0.312786878
XP_005245072.1,-0.26613348,0.437225549
NP_001158886.1,0.6401808,1.769022392
NP_001358981.1,-0.072977456,0.03315688
NP_008855.1,-0.25531046,0.378435246
NP_036565.2,0.060191469,0.197852306
NP_002943.2,0.020772207,0.025355036
XP_024302117.1,-0.270760601,0.091847524
XP_011532748.1,0.072877744,0.046701711
NP_001305659.1,0.144528699,0.091575294
NP_003365.1,0.19903472,0.068953463
NP_112243.1,-0.303152164,0.102831624
NP_003066.2,-0.261197677,0.127965913
NP_778225.1,-0.222313341,0.328501266
NP_075385.1,-0.498906482,0.527752105
NP_003306.3,-0.013790095,0.008732174
NP_004152.1,0.30064665,0.208261364
NP_001290453.1,0.212458629,0.139256357
NP_036601.2,0.21586821,0.343161121
XP_005274734.1,0.134927193,0.217180359
NP_001531.1,0.390989776,0.1782445
XP_005254109.1,0.103887688,0.036555295
XP_016882594.1,0.067394119,0.019931436
NP_000964.1,0.092677788,0.101939348
NP_006800.2,-0.016034147,0.007405619
NP_005539.1,0.014356532,0.022563717
NP_009109.3,-1.67E-05,8.91E-06
NP_005907.3,-0.091534564,0.04533781
NP_002800.2,-0.353911147,0.224311487
XP_005263532.2,0.253084714,0.070922471
NP_003923.2,-0.288109586,0.826626541
NP_004484.1,0.421872191,0.284826277
NP_002096.1,-0.459897359,0.292667763
NP_001017417.1,-0.166279965,0.111306931
NP_001013.1,-0.227953683,0.379173484
NP_001036015.1,-0.323939913,0.158958672
NP_054782.2,0.0345151,0.010892367
NP_000960.2,-0.02144822,0.034496913
NP_072045.1,-0.077895927,0.071513873
NP_060979.2,0.085951907,0.042884071
NP_003127.1,0.154548586,0.060033026
NP_001014436.1,0.247875141,0.088613512
NP_006746.1,0.032164153,0.057825581
NP_003642.3,0.082964887,0.021534292
NP_005156.1,0.532114467,0.155298943
NP_001000.2,0.04239059,0.031472415
NP_001350685.1,-0.164655845,0.11704941
NP_055554.1,-0.243626006,0.294358234
NP_006126.1,-0.131452592,0.082808873
NP_000916.2,0.273809004,0.246595187
XP_011523401.1,-0.111703387,0.045964055
NP_001681.2,0.518741346,0.810259588
NP_004951.1,-0.802415587,0.473543273
NP_057376.2,-0.112131832,0.046097623
NP_001007.2,-0.063781821,0.194649017
NP_001269468.1,0.261075496,0.086458174
NP_000993.1,-0.045752068,0.016890688
XP_016875261.1,-0.231891921,0.113169627
NP_036555.1,-0.047663578,0.037364847
NP_114366.1,0.127849146,0.09372177
NP_291029.2,-0.029792671,0.015923172
NP_006089.1,-0.046650451,0.06521902
NP_036450.1,-0.325142614,0.186499575
NP_683877.1,-0.090081626,0.126250679
NP_004631.1,-0.034436468,0.012864768
NP_006491.2,0.193593381,0.086971947
NP_003504.2,-0.85077976,0.365243606
NP_005264.2,0.271052252,0.115901168
NP_001001521.1,-0.267448816,0.354089685
NP_002936.1,-0.184109123,0.067175677
NP_005905.2,-0.340407801,0.201204881
NP_001244.1,0.059817337,0.025986097
NP_001317273.1,-0.011973176,0.004459392
NP_001098707.1,0.276200625,0.276587785
NP_000975.2,-0.147510627,0.114594467
NP_005691.2,0.369280396,0.53398106
XP_011508441.1,0.248302444,0.142190822
XP_024302561.1,-0.146541592,0.301334722
NP_001005.1,-0.174637666,0.43636978
NP_001335116.1,-0.118499628,0.113577497
NP_001484.1,0.458671646,0.269833937
NP_006296.1,-0.217570102,0.14738754
NP_653171.1,-0.397141058,0.264114764
NP_001410.2,-0.034698643,0.071997453
NP_008878.3,-0.087168039,0.061404276
NP_001137533.1,0.615863608,0.399188489
NP_004517.2,-0.201964559,0.162377778
NP_001091674.1,-0.237903355,0.137034414
NP_002810.1,-0.258298369,0.2496726
NP_001191397.1,-0.289700729,0.104188463
NP_001180298.1,0.061657086,0.039440898
NP_031398.2,0.007811766,0.001945715
NP_848927.2,0.104797834,0.065944015
NP_009207.2,-0.914026667,0.448851597
NP_003396.1,-0.212330143,0.086982372
NP_004981.2,0.370996168,1.239195137
NP_001027454.1,-0.389960724,0.734958003
NP_000217.2,0.040809626,0.030341217
NP_005316.1,-1.62308989,1.055201724
NP_002940.2,-0.264458403,0.136233121
NP_005490.1,0.147503834,0.073983922
NP_006537.3,0.07085859,0.064342985
NP_055045.2,0.389639563,0.307037742
NP_001354324.1,-0.242768926,0.130772455
NP_003267.1,-0.288855401,0.081615646
NP_001035809.1,0.204707509,0.104953885
NP_001135887.1,0.103593058,0.111787041
NP_055706.1,-0.276697411,0.284926197
NP_055635.3,0.182879825,0.731749165
NP_001143.2,0.240152011,0.609874915
NP_004270.2,0.289757433,0.143665749
NP_004102.1,-0.084612885,0.042697404
NP_009035.3,-0.089523058,0.024867016
NP_001278798.1,0.059877348,0.040731185
NP_001093869.1,-0.001108832,0.000271057
NP_002148.1,-0.073923389,0.040065221
XP_024304471.1,0.16055765,0.225787852
NP_001352825.1,-0.530201421,0.288005576
NP_817092.1,-0.150330905,0.225260028
NP_000967.1,0.18173524,0.107392417
NP_001265393.1,0.333341924,0.20888917
NP_036475.3,0.377106311,0.191810795
XP_024310152.1,0.204493987,0.15119851
NP_631961.1,-0.800372186,0.452324236
NP_001035810.1,0.61638402,0.413667945
NP_064504.2,0.413919775,0.310783193
XP_016873515.1,0.154498501,0.068997336
NP_002898.2,0.255058742,2.644260581
NP_002796.4,0.018827695,0.005755145
NP_001350464.1,0.218853966,0.076068167
NP_079031.2,-0.185948372,0.299225666
NP_002798.2,0.402141143,0.61336671
NP_001435.1,-0.383608928,0.145546557
NP_001351796.1,-0.166078658,0.116134235
NP_002129.2,-0.35797989,0.737281478
NP_001288155.1,-0.17132099,0.049995285
NP_005745.1,-0.315646645,0.252830416
XP_005257825.1,0.263270571,0.149685247
NP_644670.1,0.092774375,0.069097011
NP_036558.3,0.296226097,0.339387111
NP_001354.1,0.060570431,0.030002894
NP_000977.1,-0.440777086,0.336326966
NP_003839.2,0.191034685,0.222595804
NP_005076.3,0.049053351,0.050143493
NP_002583.1,-0.027966917,0.015684737
NP_203693.3,0.537077128,0.215288484
NP_002107.3,0.179660217,0.102410306
NP_004199.1,-0.204757178,0.116993915
NP_001193814.1,-0.221618002,0.080444841
NP_003357.2,0.11677114,0.05373472
NP_001001.2,-0.135204944,0.113658429
XP_011527126.1,0.277657685,0.12237668
NP_004921.1,0.167370581,0.175239833
NP_003339.1,-0.260804555,0.148339182
NP_001117.2,0.111792934,0.164236854
NP_003668.2,0.091070823,0.02650719
NP_005795.2,-0.31951172,0.098956232
NP_001171752.1,0.196863931,0.086614622
NP_056937.2,-0.076249032,0.042726792
NP_000954.1,1.359970231,1.373216373
XP_024307176.1,0.435846221,0.286950728
NP_065143.2,0.501554858,0.326660383
NP_002797.4,0.260992932,0.263226252
NP_001121620.1,-0.120152923,0.044243126
NP_569734.2,-0.134783088,0.073714938
NP_001124160.1,-0.758975962,0.260794915
NP_005944.1,0.335987509,0.292948099
XP_016882424.1,0.444549515,0.243566174
NP_001020262.1,-0.0389081,0.01823796
XP_011536806.1,0.204516542,0.193444325
NP_787128.2,0.095618031,0.103909849
XP_011517227.1,-0.016929517,0.004013516
NP_055555.1,-0.215684427,0.15864994
NP_056016.1,-0.042797244,0.017696606
NP_066565.1,-0.216279839,0.056197087
NP_005689.2,0.037543841,0.019587945
NP_003960.1,0.164866323,0.191368064
NP_001281074.1,-0.421029605,0.848205603
NP_055241.1,-0.100884578,0.05481117
NP_001171725.1,0.619985101,0.44764248
NP_478059.1,-0.065914121,0.020011926
NP_001966.1,0.343184646,0.216377268
NP_005712.1,0.237179236,0.556941732
NP_054745.1,0.202087477,0.100548333
NP_000421.1,0.241335921,0.248964867
NP_001306006.1,0.764172133,2.243807953
NP_006342.2,-0.193669699,0.085922858
NP_000886.1,0.327987277,0.141591261
NP_598000.2,0.289975343,0.185045827
NP_066926.1,-0.326966876,0.213301939
NP_002799.3,0.075905253,0.237068933
XP_011543800.1,0.103391071,0.031058715
NP_001276718.1,0.100736792,0.082481918
NP_060707.2,0.047020638,0.020410117
NP_037522.1,0.561228501,0.540964471
NP_004090.4,-0.343234315,0.455198034
NP_001007562.1,0.142017395,0.061014119
NP_006017.1,-0.697070397,1.086014374
NP_001288160.1,-0.583342183,0.242222239
NP_001303701.1,0.393582622,0.425151503
NP_002622.2,0.301821528,0.153978921
XP_011531792.1,0.28640166,0.169108292
NP_006744.2,-0.156665828,0.053713599
NP_001530.1,-0.147987124,0.068045677
NP_004809.2,0.158019466,0.110850453
NP_001032726.1,-0.19618159,0.130233074
NP_000445.1,-0.033456184,0.023973975
NP_001288172.1,-0.119972333,0.956966478
NP_002061.1,0.883829477,0.250528732
NP_006764.3,-0.136928785,0.092848628
NP_006256.1,-0.186036564,0.137909941
NP_001317176.1,0.113757313,0.147756314
NP_005723.2,0.333565404,0.179912593
NP_002787.2,-0.130215161,0.046039974
NP_127492.1,0.006050204,0.003771629
NP_057951.1,-0.116216147,0.100130149
NP_005042.1,0.406618791,0.160710506
NP_955392.1,0.124683256,0.075908721
NP_005403.2,0.314660137,0.21738336
NP_001186040.1,0.257410625,0.121668337
NP_114381.1,-0.280525345,0.286011751
NP_001287831.1,1.608814543,0.636231352
NP_001350643.1,-0.449771482,0.078555025
NP_002568.2,0.025158209,0.012372346
NP_003508.1,-0.760776796,2.021254662
XP_024308688.1,0.073208696,0.079838799
NP_055464.1,-0.081150078,0.039245925
NP_001830.1,-0.632923615,0.411725736
NP_001182356.1,-0.321146245,0.551526437
NP_001025177.1,0.372328345,0.305862738
NP_002005.1,0.079844064,0.096950936
NP_003744.1,0.179532644,0.155339188
NP_001153408.1,-0.159601029,0.905559226
NP_003016.1,-0.334674331,0.146856951
NP_001616.1,0.307447622,0.395733737
XP_016856050.1,-0.236373086,0.103865222
NP_001030168.1,-0.290278621,0.06558967
NP_001646.2,0.356280472,0.155567079
NP_004699.1,-0.517414055,0.402113764
NP_001284519.1,-0.232722219,0.09419674
NP_057406.2,-0.133756015,0.122249948
NP_003065.3,-0.498194489,0.460266519
NP_001304889.1,-0.114798076,0.045776803
NP_001317621.1,0.043281362,0.170977662
XP_011539410.2,0.708602758,0.530275393
XP_016878181.1,0.266921575,0.172981226
NP_001166176.1,-0.069026992,0.047809263
NP_004695.1,-0.259206834,0.244576498
NP_003391.1,0.144691098,0.068701025
XP_016855583.1,-0.125925272,1.030272827
NP_909122.1,-0.108892068,0.022810363
NP_037473.3,0.146062491,0.037439894
XP_005253288.1,-0.289402555,0.482121196
NP_078938.3,-0.005262805,0.001439822
NP_003899.2,-0.097289497,0.028750942
NP_001135452.1,0.24308208,0.12044186
NP_002071.2,0.168792976,0.181017314
XP_016860272.1,0.229696189,0.091486572
NP_006640.2,-0.208922757,0.05347222
NP_006747.1,-0.612803443,0.411368642
NP_001254739.1,-0.115534626,0.039360123
NP_031372.2,-0.202396078,0.057696433
NP_001034891.1,0.114921732,0.039155227
NP_001004.2,-0.217492946,0.215823122
NP_001355024.1,-0.353533874,0.143195176
XP_016870502.1,-0.323454594,0.429299158
NP_001305773.1,-0.073263279,0.032122469
XP_005254127.1,0.323832103,0.410728004
NP_067026.3,0.260399263,0.134312781
NP_067062.1,-0.269005419,0.114265952
NP_003012.1,-0.139643004,0.111043014
NP_002865.1,-0.043792527,0.031874315
NP_663780.2,-0.155298983,0.148834079
NP_005048.2,-0.014441859,0.009194922
NP_038466.2,-0.037003777,0.015551301
NP_002517.1,0.450423372,0.367972051
NP_001096617.1,0.064653,0.033995016
NP_055102.3,0.268674862,0.275575613
NP_112179.2,-0.448092787,0.270781504
XP_016876581.1,-0.380208781,0.212195626
NP_057018.1,0.088003679,0.086885872
NP_001805.4,-0.171494329,0.039027787
NP_001011.1,0.15733797,0.114497272
NP_001020241.1,0.013352302,0.007490368
NP_001352525.1,-0.152109262,0.238009226
NP_002678.3,-0.361555297,0.134966713
XP_024304433.1,-0.053545862,0.013907062
XP_005260640.1,0.132396135,0.049587539
NP_001276978.1,0.488201306,0.178156169
NP_000867.2,0.255203518,0.35833276
NP_001265138.1,0.287604334,0.131132885
NP_065823.1,-0.226913973,0.143528561
NP_000311.2,0.372888448,0.154671272
NP_060140.2,0.131562687,0.042681064
NP_001924.2,-0.191617163,0.077604809
XP_016879141.1,0.359552054,0.186332367
XP_005258735.1,-0.144178748,0.050211952
NP_001129676.1,-0.212467494,0.392959252
NP_001748.1,0.328528575,0.184540781
NP_001035109.1,1.01635317,0.272442117
NP_009210.1,-0.136879292,0.050061454
NP_001008273.1,0.36603558,0.127829699
NP_005600.1,0.941816177,0.310872778
NP_001739.3,0.524702374,0.165206751
NP_036526.2,0.019187415,0.007536
NP_003900.1,0.322943811,0.114899385
