Accession, 129C  Sample  BR1, 129C  Sample  BR1, 129C  Sample  BR1, 131  Sample  BR1, 131  Sample  BR1
NP_000225.1,6.922049979,7.281518671,6.689250269,7.145049247,7.145049247
NP_000228.1,3.284022402,0,2.807127579,0,0
NP_000234.1,4.282942136,0,4.466857848,0,0
NP_000240.1,3.140314349,0,3.63624302,0,0
NP_000242.1,7.040029326,7.817856034,7.029794042,7.730706153,7.730706153
NP_000245.2,3.325883715,2.250946065,3.110519723,2.619600787,2.619600787
NP_000246.2,4.777602243,5.87973056,4.744391824,5.942366529,5.942366529
NP_000250.3,5.923725953,6.793994755,5.916096831,6.739976903,6.739976903
NP_000253.1,3.789568546,4.766080926,3.461992094,4.666808212,4.666808212
NP_000256.4,5.539658818,5.507975488,5.621045189,4.936951316,4.936951316
NP_000259.1,4.37875069,0,3.980459182,0,0
NP_000261.2,6.535809516,4.969866713,6.104287769,4.857632185,4.857632185
NP_000272.1,5.221682541,5.418171917,4.997372565,5.585689727,5.585689727
NP_000273.2,4.936949648,2.298686654,4.87824757,2.718933321,2.718933321
NP_000275.1,7.332294444,7.095098909,7.221205521,7.083284832,7.083284832
NP_000276.2,6.126629944,7.191508032,6.180316689,7.16198306,7.16198306
NP_000278.3,2.983354145,1.942438486,2.059893649,1.790371894,1.790371894
NP_000282.1,11.22032826,11.07062778,11.15547905,11.04149454,11.04149454
NP_000284.1,2.440769079,4.857469471,3.059893649,4.71037554,4.71037554
NP_000285.1,2.078567976,3.366215835,3.046954594,3.252016425,3.252016425
NP_000288.1,0.022714741,0.613815739,0,0.833042511,0.833042511
NP_000294.1,4.897262298,4.943829304,4.486158404,4.999459437,4.999459437
NP_000299.2,4.422572684,4.922824929,4.732318991,4.949732077,4.949732077
NP_000301.1,7.386273171,6.035652249,7.3714798,6.041643346,6.041643346
NP_000311.2,5.749462537,3.938537048,5.530988186,4.358545491,4.358545491
NP_000312.2,5.711826603,6.520846124,5.642707684,6.500719594,6.500719594
NP_000335.1,1.666294791,0,1.924964069,0,0
NP_000337.1,4.720231064,4.384972474,4.27490654,4.502011429,4.502011429
NP_000352.1,3.286899163,2.309947615,2.980459182,2.246107768,2.246107768
NP_000358.1,4.16710465,4.770320225,3.807127579,4.565270186,4.565270186
NP_000364.1,6.842893704,6.597958167,7.019895581,6.753446892,6.753446892
NP_000365.3,4.35187268,3.93993163,3.980459182,3.997995218,3.997995218
NP_000377.1,4.867784557,4.345108455,4.724213942,4.240174812,4.240174812
NP_000378.1,4.626536269,5.047862039,4.432447817,5.278430562,5.278430562
NP_000381.1,4.176442515,4.469094696,4.110519723,4.440386301,4.440386301
NP_000382.3,5.360603343,6.263030134,5.627578159,6.241350981,6.241350981
NP_000388.2,1.699059902,2.842187013,0,2.555747412,2.555747412
NP_000391.1,4.837446678,3.55314438,4.578968214,3.456467633,3.456467633
NP_000396.2,5.385979731,4.363724133,5.116724872,4.399491714,4.399491714
NP_000401.1,2.024439421,0.904084678,2.556319476,0.856501483,0.856501483
NP_000405.1,8.334946337,8.242791047,8.158677724,8.231416308,8.231416308
NP_000413.1,2.246092946,2.009856248,0,1.271538983,1.271538983
NP_000414.2,7.204431719,7.417421257,6.723197601,7.065430672,7.065430672
NP_000415.2,3.350154572,3.951316637,2.381821744,3.414496937,3.414496937
NP_000422.1,2.229740741,0,2.852451569,0,0
NP_000427.1,7.341187277,7.103834788,7.442980746,7.173962726,7.173962726
NP_000445.1,8.250750896,8.193526341,8.05707313,8.326165181,8.326165181
NP_000471.1,3.946077771,0.754873326,3.452211072,0.48392423,0.48392423
NP_000474.2,2.405468028,1.39700435,3.703749839,1.560516656,1.560516656
NP_000475.1,4.950620265,4.839051205,5.244060573,4.788509806,4.788509806
NP_000476.1,5.856452224,6.448421526,5.618860941,6.475478958,6.475478958
NP_000480.3,6.338503515,6.467403348,6.433690984,6.404529236,6.404529236
NP_000497.1,3.910146727,3.931263411,3.583455605,4.045546648,4.045546648
NP_000507.1,5.952659731,6.469625853,5.899997154,6.11891632,6.11891632
NP_000508.1,4.004043032,5.46241442,3.939039254,5.891541967,5.891541967
NP_000509.1,0,1.812041849,0,1.584129213,1.584129213
NP_000512.1,6.499456101,7.052607592,6.762313731,7.364750641,7.364750641
NP_000517.2,4.01145378,2.749157159,2.296932847,2.075565887,2.075565887
NP_000518.1,3.883311685,3.913769143,3.64485615,3.719288796,3.719288796
NP_000519.2,6.051863244,5.675642162,6.127520075,5.711716044,5.711716044
NP_000535.3,5.072953965,4.604348512,5.407356837,4.732908406,4.732908406
NP_000537.3,0.376051541,0,0,0,0
NP_000544.2,3.828589723,0,4.407356837,0,0
NP_000551.1,3.707136215,1.748520629,3.776100684,1.591914958,1.591914958
NP_000552.2,6.438992063,5.888785237,6.563151509,6.357232731,6.357232731
NP_000572.2,6.561131119,5.487426762,6.90089631,5.543353392,5.543353392
NP_000578.2,3.452987207,4.264366581,3.263765983,3.914464102,3.914464102
NP_000584.2,4.838427436,4.731227296,4.833739309,4.642460704,4.642460704
NP_000622.2,3.815699578,0,3.736354504,0,0
NP_000628.2,7.21937863,7.137620798,7.038808355,7.238656756,7.238656756
NP_000662.3,7.651373935,6.307356723,7.607889824,6.400600371,6.400600371
NP_000681.2,6.853483902,6.341472403,7.008260881,6.107623282,6.107623282
NP_000687.3,7.646272487,8.005467313,7.536784477,7.984546635,7.984546635
NP_000689.1,2.022714741,0,2.296932847,0,0
NP_000692.2,8.824975995,8.193263243,8.470193561,8.258069196,8.258069196
NP_000700.1,3.150616528,3.851405543,3.50992657,3.801829939,3.801829939
NP_000704.1,5.432024465,5.459111278,4.618860941,5.041856526,5.041856526
NP_000705.2,4.774787228,5.425159314,4.87824757,5.257533898,5.257533898
NP_000748.3,1.154559397,3.339835827,0,3.815194509,3.815194509
NP_000775.1,4.772736488,3.236037858,4.027325787,3.216195949,3.216195949
NP_000777.1,1.955600545,3.390082983,0,3.552160103,3.552160103
NP_000779.1,5.024439421,5.245768252,4.903590419,5.154576373,5.154576373
NP_000782.1,6.243688917,6.046244341,6.211091443,5.947989005,5.947989005
NP_000792.1,6.743323123,5.851998269,5.594613395,5.989399632,5.989399632
NP_000840.2,6.634533765,7.257168575,6.542557574,7.244256339,7.244256339
NP_000845.2,1.35701476,0,1.461992093,0,0
NP_000867.2,8.403750497,8.902672873,8.592945218,8.704686902,8.704686902
NP_000875.2,8.013083392,8.015389852,8.01242691,7.953627422,7.953627422
NP_000876.3,2.299774068,0,1.896394917,0,0
NP_000880.1,1.873776322,0.25004691,2.059893649,0.390591654,0.390591654
NP_000886.1,7.553536402,7.585982949,7.41870181,7.492788264,7.492788264
NP_000908.2,7.572706618,8.09738158,7.409885663,8.134659474,8.134659474
NP_000909.2,10.84263788,10.40341889,10.91247889,10.52101886,10.52101886
NP_000916.2,7.308161208,7.575971953,7.172891583,7.486328113,7.486328113
NP_000923.1,6.503635361,5.724607566,6.093316651,5.790202713,5.790202713
NP_000928.1,6.841121088,7.589074972,6.880072612,7.565715027,7.565715027
NP_000929.1,6.701352784,7.329179192,7.071120904,7.301909475,7.301909475
NP_000932.3,6.573700805,7.188871207,6.345295868,7.127847365,7.127847365
NP_000933.1,8.917837009,8.480339922,9.128863813,8.521493479,8.521493479
NP_000936.1,2.982467151,0,3.471707248,0,0
NP_000937.1,0.1291368,-0.753555326,0.05989365,-0.927769825,-0.927769825
NP_000953.2,0.907812646,0,1.537940946,0,0
NP_000958.1,9.381802233,9.246353093,9.279580783,9.113069515,9.113069515
NP_000959.2,9.357431751,9.454947301,9.423246229,9.201187149,9.201187149
NP_000960.2,8.711174212,8.934686239,8.333356255,8.906964562,8.906964562
NP_000962.2,8.345440757,8.097115975,8.250776549,8.092438495,8.092438495
NP_000963.1,9.002047622,8.775553074,8.777570072,8.665240817,8.665240817
NP_000966.2,5.77247994,5.74293898,4.63624302,5.878073546,5.878073546
NP_000967.1,8.363693472,7.943672904,8.176237611,7.943869268,7.943869268
NP_000968.2,8.873447421,9.061403585,9.285273256,8.932081269,8.932081269
NP_000969.1,7.971948062,7.733782288,8.059491056,7.720177101,7.720177101
NP_000970.1,7.362010705,7.543980028,7.777570072,7.453746423,7.453746423
NP_000971.1,8.019421347,7.815578754,7.76132389,7.844962214,7.844962214
NP_000972.1,6.679969076,6.249709582,6.547159476,6.21260237,6.21260237
NP_000973.2,7.764923431,7.903673789,7.260266842,8.088488209,8.088488209
NP_000974.1,7.26941557,7.074168446,7.45649843,6.78969505,6.78969505
NP_000975.2,8.574179244,8.275787122,7.98597781,8.406117111,8.406117111
NP_000977.1,8.615815424,8.068457756,8.338011187,7.94814066,7.94814066
NP_000980.1,7.75939988,8.039771609,7.834210086,7.837245065,7.837245065
NP_000981.1,7.425798136,6.66151035,7.539673913,6.757519734,6.757519734
NP_000982.2,8.115901666,8.706941525,7.77217498,8.528533881,8.528533881
NP_000984.1,7.583532064,8.208516459,7.611739213,7.949523777,7.949523777
NP_000985.1,7.300219056,7.528281994,7.113625633,7.433280412,7.433280412
NP_000988.1,5.441091938,7.462171798,4.994005714,7.585714097,7.585714097
NP_000989.1,7.920979806,7.381384317,7.777570072,7.283938245,7.283938245
NP_000990.1,5.591189119,4.794727155,5.946025685,4.850996861,4.850996861
NP_000992.1,5.228057861,4.679571049,5.294197879,4.820008754,4.820008754
NP_000993.1,7.330117118,7.128048119,7.02320262,7.576301223,7.576301223
NP_000994.1,4.11948663,2.333058621,2.537940946,2.584909681,2.584909681
NP_000995.1,7.105042073,6.104985226,6.077497468,7.131858382,7.131858382
NP_000996.2,10.00649933,9.96208498,10.48989809,9.971992685,9.971992685
NP_000997.1,9.800280749,9.547380601,9.847329845,9.577453623,9.577453623
NP_000998.1,8.348369869,8.694354422,8.375043211,8.616908458,8.616908458
NP_000999.1,6.014819617,6.100939091,6.236957186,5.953665189,5.953665189
NP_001000.2,8.143020839,7.93549917,8.010761942,7.945484391,7.945484391
NP_001001.2,8.665604208,8.912428947,9.038399833,8.820971749,8.820971749
NP_001001433.1,4.192639742,4.393140621,4.21254066,4.414716441,4.414716441
NP_001001503.1,0.885211217,0.585582058,0,1.047529734,1.047529734
NP_001001520.1,6.722424165,6.596057645,6.681945469,6.493359947,6.493359947
NP_001001563.1,6.032067914,5.061507691,6.050200253,5.051487748,5.051487748
NP_001001660.2,1.116255509,0.599767964,0,0.927137026,0.927137026
NP_001001683.1,2.619136357,1.937978838,1.952978446,2.179463398,2.179463398
NP_001001790.1,5.198953516,5.282618286,5.498091434,5.994254719,5.994254719
NP_001001973.1,1.179541754,2.294332003,1.381821745,2.499737026,2.499737026
NP_001001975.1,5.790582387,6.160650392,5.110519722,6.594242512,6.594242512
NP_001001998.1,7.137279034,6.817704328,7.293513327,6.798259066,6.798259066
NP_001002.1,8.726998997,8.94695375,8.795812266,8.950167516,8.950167516
NP_001002010.2,4.537848661,3.977356297,4.87092423,4.004426696,4.004426696
NP_001002032.1,2.104889254,3.581298943,0,4.461788489,4.461788489
NP_001002251.2,4.881885392,5.888279675,4.01408996,5.850672405,5.850672405
NP_001002261.1,1.619136357,2.741500202,2.64485615,2.409218778,2.409218778
NP_001002755.1,4.994835708,5.083883388,5.27767829,5.553556228,5.553556228
NP_001002762.2,3.623125641,3.575568269,4.00742623,3.607361519,3.607361519
NP_001002814.2,4.723154459,4.967270339,4.302387276,5.043986594,5.043986594
NP_001002836.2,0,3.585582058,0,3.546562056,3.546562056
NP_001002857.1,8.046303311,7.520659735,7.816211687,7.47361013,7.47361013
NP_001002926.1,2.687132253,2.652437033,2.661929663,2.586469351,2.586469351
NP_001003.1,8.14671234,7.577047888,7.75188636,7.784098929,7.784098929
NP_001003690.1,0.386817972,0.636011485,1.610090732,0.919732245,0.919732245
NP_001003699.1,4.966182983,4.747883818,4.791697538,4.715017305,4.715017305
NP_001003701.1,4.725806961,2.538490166,4.200905959,4.088832142,4.088832142
NP_001003793.1,3.894671547,3.367460074,3.653418164,3.523135922,3.523135922
NP_001003800.1,5.046250256,4.292368113,4.01408996,4.30365879,4.30365879
NP_001003801.1,1.522369929,3.524429421,0.05989365,2.989178558,2.989178558
NP_001003810.1,5.555550663,4.425756662,4.795570547,4.852618049,4.852618049
NP_001003891.1,1.902195397,1.773765281,2.033898441,1.690932887,1.690932887
NP_001003945.1,1.864177517,0.289089011,2.695482223,-0.261995279,-0.261995279
NP_001004019.1,6.247016508,7.44265334,6.101161668,7.447671908,7.447671908
NP_001004127.2,2.460013852,1.57556827,2.678803482,1.085526997,1.085526997
NP_001004304.1,0,1.333907514,0,1.836978925,1.836978925
NP_001005.1,8.283167258,8.39479414,8.224082281,8.429211896,8.429211896
NP_001005333.1,2.141904096,0.752335603,2.91075021,0.965999849,0.965999849
NP_001005339.1,3.96775247,4.580405024,2.402285847,4.789525788,4.789525788
NP_001005362.1,7.014873841,6.59972385,6.833739309,6.54971363,6.54971363
NP_001005741.1,4.59351464,4.537937727,4.269347015,4.344096633,4.344096633
NP_001005743.1,4.74450078,4.80777081,4.678803482,4.863433268,4.863433268
NP_001005751.1,5.667123053,6.413511511,5.625403788,6.375954558,6.375954558
NP_001006.1,8.304284333,8.530979627,8.32433625,8.518330651,8.518330651
NP_001006666.1,5.239982569,3.492092447,5.476540402,3.590749771,3.590749771
NP_001007.2,7.789917134,7.037053825,7.512870246,7.088419413,7.088419413
NP_001007279.1,3.429748663,0,2.206735038,0,0
NP_001007524.1,2.350154571,0.655156534,2.744391824,0.721064858,0.721064858
NP_001007560.1,0,0.682073267,0,0.859084645,0.859084645
NP_001008.1,8.096382275,8.572301013,7.78684161,8.543466317,8.543466317
NP_001008389.1,5.533767484,6.460423725,5.805207825,6.261566677,6.261566677
NP_001008391.1,5.187838117,3.376963757,5.321317005,3.271054125,3.271054125
NP_001008661.1,4.419954362,0.08640426,4.666166656,0.232226058,0.232226058
NP_001008708.1,4.108958919,3.662270931,3.703749839,3.445336993,3.445336993
NP_001008895.1,4.907812646,5.02465325,5.258163277,5.049792786,5.049792786
NP_001008938.1,8.266412608,8.320197975,8.29111483,8.305405986,8.305405986
NP_001009552.1,7.26006767,6.824553145,7.243351807,6.739013062,6.739013062
NP_001009566.1,1.109771475,4.75550706,0,4.711448043,4.711448043
NP_001009894.2,2.551369801,1.686067811,2.760333368,2.095419802,2.095419802
NP_001009923.1,2.121099481,4.040860539,2.033898441,3.792062619,3.792062619
NP_001009931.1,-0.718860106,3.339835827,0,2.81386361,2.81386361
NP_001009999.1,6.493787046,6.202617517,6.381821744,6.271841936,6.271841936
NP_001010.2,7.051704686,7.85746947,7.034717921,7.606136668,7.606136668
NP_001010853.1,3.654091991,0,3.844995765,0,0
NP_001010867.1,0.222246204,4.872591737,0,4.835831914,4.835831914
NP_001010883.2,0.71196039,2.504963598,0.05989365,2.550163294,2.550163294
NP_001011.1,7.325402852,8.479525036,7.482559163,8.135075839,8.135075839
NP_001011553.2,1.444638626,1.955735309,0,2.132192131,2.132192131
NP_001011668.1,0.240168113,0.432311218,0,0.549363795,0.549363795
NP_001011713.2,2.825130613,2.685402821,1.678803482,3.185136201,3.185136201
NP_001012.1,7.215137347,7.563495437,7.230534096,7.671523169,7.671523169
NP_001012533.1,5.728586848,5.986360266,5.554034922,5.90441695,5.90441695
NP_001012680.1,7.571859176,6.492282563,7.648608285,6.665194691,6.665194691
NP_001012750.1,2.948350806,2.967817333,1.678803482,3.137521635,3.137521635
NP_001012768.1,5.132339232,5.497500958,5.266559198,5.445659275,5.445659275
NP_001012997.1,2.326582864,0,2.110519723,0,0
NP_001013455.1,5.953452079,6.59649985,5.744391824,6.460513272,6.460513272
NP_001013685.1,4.341533206,4.850812573,4.235532302,5.133126217,5.133126217
NP_001013725.2,4.405798884,4.061507691,4.402285847,3.991829218,3.991829218
NP_001013764.1,0,3.534064717,0,3.578262206,3.578262206
NP_001014431.1,5.109974543,4.627035607,5.269347015,4.803171981,4.803171981
NP_001014433.1,3.153771685,0,3.147356491,0,0
NP_001014446.1,4.010148764,3.818424794,3.791697538,3.96420135,3.96420135
NP_001014832.1,3.392838966,3.647665536,2.881895347,3.878630618,3.878630618
NP_001015.1,7.070556162,6.790559075,7.107407111,6.619267497,6.619267497
NP_001015509.1,3.429748663,1.89260733,3.195053233,2.431952625,2.431952625
NP_001015877.1,5.404971603,5.783973715,5.218323012,5.717510545,5.717510545
NP_001016.1,7.995879965,7.238334941,8.01408996,7.186358088,7.186358088
NP_001017915.1,7.568057995,6.763129622,7.755867584,6.678418302,6.678418302
NP_001017928.1,5.432836382,5.861154517,5.334687769,5.871851585,5.871851585
NP_001017962.1,2.558529592,3.000797745,2.924964069,2.936339875,2.936339875
NP_001017963.2,10.42629764,10.4664148,10.44737252,10.44563242,10.44563242
NP_001017980.1,0,1.096443933,0,1.139647936,1.139647936
NP_001017992.1,0.90031811,2.610316598,2.135181777,2.619600787,2.619600787
NP_001018006.1,5.588714138,5.469191284,5.97705258,5.642273255,5.642273255
NP_001018077.1,9.250152201,8.308072382,9.907398482,8.636438485,8.636438485
NP_001018080.1,6.33598837,6.765412493,6.074312709,6.689119317,6.689119317
NP_001018087.1,3.058507003,0,2.381821744,0,0
NP_001018114.1,3.54657679,5.964669285,2.007426229,5.78681491,5.78681491
NP_001018118.1,5.719565829,5.478721683,5.940789036,5.357746562,5.357746562
NP_001018119.1,5.56683802,5.548946517,5.215434733,5.307446636,5.307446636
NP_001018121.1,4.881885392,5.314685535,4.514633572,5.471000253,5.471000253
NP_001018146.1,9.490135033,8.955261295,9.372128348,9.132650909,9.132650909
NP_001018494.1,5.698789911,6.0980688,5.560877757,6.124160778,6.124160778
NP_001019.1,7.738438682,7.822305323,7.268650565,7.964295077,7.964295077
NP_001019554.1,2.519926753,0,0,0,0
NP_001019636.1,6.096920236,6.028525554,5.498091434,6.453265675,6.453265675
NP_001019845.1,1.628238564,0,1.776100684,0,0
NP_001019978.1,0.959211798,1.561141199,2.500466241,2.139647936,2.139647936
NP_001020.2,5.341014282,5.426751693,5.876420217,4.980455981,4.980455981
NP_001020092.1,7.363416696,7.204098142,7.14811401,7.118377347,7.118377347
NP_001020114.1,5.413716736,5.262472915,5.296932847,5.28120208,5.28120208
NP_001020127.1,2.918054474,2.161965574,2.881895347,2.213170373,2.213170373
NP_001020241.1,6.914629229,6.913627194,6.789757128,6.949769946,6.949769946
NP_001020262.1,7.353031246,7.421669846,7.190648053,7.426357092,7.426357092
NP_001020276.1,5.544024011,6.161905819,5.519325268,6.010902227,6.010902227
NP_001020366.1,6.654857698,5.521079076,6.285961729,5.553556228,5.553556228
NP_001020419.1,7.219472739,6.565484489,6.825238954,6.552110217,6.552110217
NP_001020424.1,5.684271249,6.36122812,5.321317005,6.902579096,6.902579096
NP_001020471.2,4.738471519,5.254761237,5.040441287,5.217454735,5.217454735
NP_001020769.1,3.759335152,0,3.547159477,0,0
NP_001021.1,7.1829722,5.855992812,7.474125848,6.12120471,6.12120471
NP_001022.1,5.943345393,6.988147595,6.172891583,6.15739933,6.15739933
NP_001023.1,-0.695959704,1.748520629,0,1.533280072,1.533280072
NP_001024.1,6.63939548,7.046082471,6.78586846,6.957587609,6.957587609
NP_001025035.1,0,3.698644723,0,3.684757424,3.684757424
NP_001025162.1,0.819181347,4.284924753,0.252538727,4.144155947,4.144155947
NP_001025178.1,6.428935007,6.804865386,6.107407111,6.734228146,6.734228146
NP_001025459.1,4.462878553,3.025178917,5.07271769,3.604670282,3.604670282
NP_001026788.1,2.327980148,0,2.881895347,0,0
NP_001026794.1,5.120494873,5.01767001,5.056669748,4.662008455,4.662008455
NP_001026854.1,6.700611368,7.345161084,6.766266323,7.284809121,7.284809121
NP_001026855.2,1.201051982,3.235583681,0,3.042424851,3.042424851
NP_001026859.1,6.448738679,6.825383386,6.340001569,6.798553472,6.798553472
NP_001026871.1,3.581556522,3.519214405,3.752384614,3.64863287,3.64863287
NP_001026882.2,3.035599867,2.469867223,3.098028778,2.101977518,2.101977518
NP_001026893.1,2.928224106,3.955183715,3.791697538,3.802836588,3.802836588
NP_001026895.2,1.532101467,2.455898039,0.252538727,2.389698621,2.389698621
NP_001026897.1,4.908279765,5.640993112,4.752384614,5.580611873,5.580611873
NP_001027.3,0,3.474878594,0,3.622264342,3.622264342
NP_001027454.1,7.094869788,7.197991673,6.890974641,7.049156661,7.049156661
NP_001027455.1,2.075243792,2.451993584,1.980459182,2.474689608,2.474689608
NP_001027459.1,5.710488047,5.902154269,5.50992657,5.877755123,5.877755123
NP_001027467.2,4.69039504,4.026492249,4.818592766,4.197181153,4.197181153
NP_001027582.1,4.299061802,5.52182427,4.551746745,5.472055317,5.472055317
NP_001028693.1,5.195513066,5.940001324,5.461992093,5.7385309,5.7385309
NP_001028733.1,1.197998658,4.253191505,1.296932847,4.092404192,4.092404192
NP_001028740.1,2.225248693,4.149724015,2.361063184,4.056842028,4.056842028
NP_001028886.1,3.824140771,4.257224512,3.687166955,4.381636349,4.381636349
NP_001029027.1,0.766566721,2.038258744,1.422463729,1.525170466,1.525170466
NP_001029097.1,5.05175754,6.332156123,4.97021515,6.193219985,6.193219985
NP_001029196.1,4.621702163,5.268923459,5.004082786,5.290083186,5.290083186
NP_001029288.1,0.720497072,1.463675389,0.252538727,1.462000915,1.462000915
NP_001029345.2,3.409433294,0,3.760333368,0,0
NP_001029366.1,5.884973912,4.589141633,5.999053048,4.700686966,4.700686966
NP_001030168.1,6.391503137,6.555921027,6.483759908,6.651941859,6.651941859
NP_001030312.2,4.710889744,4.762144512,3.946025685,5.005155735,5.005155735
NP_001032238.1,5.964274879,5.706941526,5.678803482,5.913144054,5.913144054
NP_001032242.1,6.369535941,6.558283792,6.452211072,6.456414326,6.456414326
NP_001032248.1,6.69059872,5.507975488,6.639478973,5.730441657,5.730441657
NP_001032354.1,4.138722849,3.962338044,3.91075021,3.865522384,3.865522384
NP_001032417.1,5.340148994,4.104425668,4.457109872,4.241907779,4.241907779
NP_001032584.1,7.081780991,7.49832942,7.439890801,7.84243521,7.84243521
NP_001032671.2,5.561799326,5.238986532,5.750390564,5.198966509,5.198966509
NP_001032726.1,7.040349002,7.454361921,6.69651827,7.362419724,7.362419724
NP_001034180.1,7.402569802,7.4043221,6.687166954,7.630012951,7.630012951
NP_001034229.1,4.273908324,3.341525165,4.699621953,3.914464102,3.914464102
NP_001034230.1,2.794125228,5.840246602,2.318627918,5.77087054,5.77087054
NP_001034271.1,4.341533206,4.716656131,4.079087215,4.905432629,4.905432629
NP_001034558.2,4.539658818,5.954700896,4.921423711,5.802165567,5.802165567
NP_001034624.1,0.941064452,0,0,0,0
NP_001034679.2,0.79108904,0,0.711970346,0,0
NP_001034702.1,2.719432745,2.550225421,3.329354324,2.368098292,2.368098292
NP_001034761.1,0.480262536,1.308220871,0,1.006175771,1.006175771
NP_001034764.1,6.657152382,6.686857088,6.438652967,6.594533192,6.594533192
NP_001034779.1,1.113017135,2.257224512,1.206735038,2.135392195,2.135392195
NP_001034782.1,0,0.374077953,0,0.996822772,0.996822772
NP_001034786.1,0.090142669,1.10243437,0,1.094323945,1.094323945
NP_001034891.1,6.436565325,6.835196781,6.263765983,6.933700063,6.933700063
NP_001034931.1,2.629372313,0.257224512,0,0.477214009,0.477214009
NP_001034937.1,5.499456101,5.619831881,5.302387277,5.641616995,5.641616995
NP_001035110.1,3.413387692,2.174341127,3.994005713,2.153393028,2.153393028
NP_001035111.1,4.365884514,3.80777081,4.177351231,3.543353391,3.543353391
NP_001035167.2,3.671257247,3.983049549,3.59238873,3.579437518,3.579437518
NP_001035203.1,3.759335152,0,3.670391242,0,0
NP_001035207.1,4.214334813,0,4.500466241,0,0
NP_001035521.1,3.376726802,5.375933775,2.822394336,5.491644217,5.491644217
NP_001035526.1,5.276805303,6.038909633,5.337347115,6.129653703,6.129653703
